Gene,0,1,2,3,4,5,6,7,8,9,10
ASXL1,0,0,56,0,0,0,0,12,0,0,0
ATRX,1,3,0,0,0,0,0,0,0,0,0
BCOR,0,0,20,0,0,0,0,8,0,6,0
BRAF,0,0,0,0,0,0,0,0,0,0,0
CBL,9,16,0,0,0,0,0,0,0,0,0
CBLB,0,0,0,0,0,0,0,0,0,0,0
CDKN2A,0,0,0,2,0,0,0,0,0,0,0
CREBBP,0,0,0,0,0,0,0,0,0,10,0
CUX1,0,0,6,0,0,0,0,0,0,0,0
DNMT3A,0,304,25,0,0,0,0,0,0,27,0
EP300,0,0,0,0,0,0,13,0,0,0,0
ETV6,0,0,0,0,0,0,0,12,0,0,0
EZH2,0,0,32,0,0,0,0,3,7,0,0
FBXW7,1,0,0,0,0,0,6,0,0,0,0
GATA2,0,0,0,0,0,0,33,0,0,0,0
GNAS,0,0,2,0,0,0,0,0,0,0,0
IDH1,0,78,27,0,0,0,0,0,0,0,0
IKZF1,0,0,0,0,0,0,0,0,0,0,0
JAK2,0,0,8,0,0,0,0,0,2,0,0
KDM5A,0,0,0,0,0,0,0,0,0,0,0
KDM6A,0,0,0,0,0,0,0,0,9,0,0
KIT,0,0,0,0,0,18,9,0,36,0,0
KRAS,0,27,0,0,0,14,0,21,0,0,0
MLL,0,0,64,0,0,0,0,0,0,5,0
MLL2,3,7,0,0,0,0,0,0,0,0,0
MLL3,0,0,0,0,0,0,2,0,4,0,0
MLL5,0,2,0,0,0,0,0,0,0,0,0
MPL,0,0,2,0,0,0,0,0,0,0,0
MYC,0,27,0,0,0,0,0,0,0,0,0
NF1,0,17,5,6,0,0,0,0,0,0,0
NPM1,0,436,0,0,0,0,0,0,0,0,0
NRAS,0,93,31,0,0,66,32,27,0,0,0
PHF6,0,0,30,0,0,0,0,12,0,0,0
PRPF40B,0,0,0,0,0,0,0,0,3,0,0
PTEN,3,0,0,0,0,0,0,0,0,0,0
PTPN11,0,86,0,11,0,0,0,21,0,0,0
RAD21,0,44,0,0,0,0,0,0,8,0,0
RB1,1,0,0,0,0,0,0,0,0,0,0
RUNX1,0,0,109,0,0,0,0,15,0,1,0
SF1,0,0,0,0,0,0,0,0,0,0,0
SF3A1,0,0,0,0,0,0,0,0,0,0,0
SF3B1,8,0,0,0,0,0,0,13,0,0,0
SFRS2,0,0,89,0,0,0,0,0,0,0,0
SH2B3,0,0,0,0,0,0,0,1,0,0,0
STAG2,0,0,65,0,0,0,0,0,0,0,0
TET2,0,99,53,0,0,0,0,0,0,0,0
TP53,0,0,0,98,0,0,0,0,0,0,0
U2AF1,0,0,26,0,0,0,0,9,0,0,0
U2AF2,0,0,0,0,0,0,0,0,0,0,0
WT1,0,0,0,0,44,0,28,0,0,0,0
ZRSR2,0,0,12,0,0,0,0,0,0,0,0
CEBPA_mono,0,36,4,0,0,0,14,0,0,0,0
CEBPA_bi,0,0,0,0,0,0,72,0,0,0,0
FLT3_ITD,0,239,23,0,70,0,0,0,0,0,0
FLT3_TKD,0,72,0,0,21,23,0,0,0,0,0
FLT3_other,0,43,16,0,14,0,0,0,0,0,0
IDH2_p172,0,0,0,0,0,0,0,0,0,36,0
IDH2_p140,0,71,35,0,0,0,0,0,0,0,0
inv3_t3_3,0,0,0,0,0,0,0,23,0,0,0
t_9_22,0,0,0,0,0,0,0,0,0,0,0
minus5_5q,0,0,0,107,0,0,0,0,0,0,0
minus7,0,0,0,50,0,0,0,38,0,0,0
minus7q,0,0,0,23,0,10,0,0,0,8,0
abn7other,0,0,0,17,0,0,0,0,0,0,0
plus8_8q,0,0,42,26,29,21,0,0,0,10,16
minus9q,0,0,0,24,0,0,11,0,17,0,0
mono12_12p_abn12p,0,0,4,42,0,0,0,0,0,0,0
plus13,0,0,12,1,0,2,0,0,0,0,0
mono17_17p_abn17p,0,0,0,77,0,0,0,0,0,0,0
minus18_18q,0,0,0,24,0,0,0,0,0,0,0
minus20_20q,0,0,9,24,0,0,0,0,0,0,0
plus21,0,0,0,17,0,7,6,0,0,0,0
plus22,0,0,0,7,0,18,0,0,0,0,0
minusY,0,0,0,0,0,0,0,0,39,0,0
t_15_17,0,0,0,0,65,0,0,0,0,0,0
t_8_21,0,0,0,0,0,0,0,0,63,0,0
inv16_t16_16,0,0,0,0,0,82,0,0,0,0,0
t_6_9,0,0,0,0,14,0,0,0,0,0,0
abn3q_other,0,0,0,43,0,0,0,0,0,0,0
plus11_11q,0,0,4,15,0,0,0,0,0,0,0
mono4_4q_abn4q,0,0,0,20,0,0,0,0,0,0,1
complex,0,0,0,161,0,0,0,0,0,0,0
t_9_11,0,0,0,0,0,0,0,0,0,0,0
t_v_11,0,0,0,0,0,0,0,0,0,0,14
